Tipo ;Nivel;Elemento;Diámetro;Longitud de barra (m);Cantidad;Peso de acero;Peso total (kg)
;;;;;;;
 Techo 1° Nivel ;;;;;;;
 Corte 2-2 ; SUP ; Viga Peraltada ;" 3/4"" ";6.46;2; 2.24 kg/m ;28.893509
 Corte 2-2 ; SUP ; Viga Peraltada ;" 3/4"" ";6.47;2; 2.24 kg/m ;28.904096
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;20; 0.56 kg/m ;22.960905
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;20; 0.56 kg/m ;22.960905
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.480453
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.480453
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;6; 0.56 kg/m ;6.893413
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.04;16; 0.56 kg/m ;18.273423
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/8"" ";2.04;16; 0.56 kg/m ;18.273423
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.92;2; 2.24 kg/m ;17.508992
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.92;2; 2.24 kg/m ;17.537703
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.92;2; 2.24 kg/m ;17.508992
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.92;2; 2.24 kg/m ;17.537703
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/4"" ";5.81;2; 2.24 kg/m ;25.956687
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/4"" ";5.81;2; 2.24 kg/m ;25.966257
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.7;2; 2.24 kg/m ;16.559279
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.71;2; 2.24 kg/m ;16.566598
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.7;2; 2.24 kg/m ;16.559279
 Corte 3-3 ; SUP ; Viga Peraltada ;" 3/4"" ";3.71;2; 2.24 kg/m ;16.566598
 Corte 5-5 ; SUP ; Viga Peraltada ;" 3/8"" ";1.87;15; 0.56 kg/m ;15.749306
 Corte 5-5 ; SUP ; Viga Peraltada ;" 3/8"" ";1.87;11; 0.56 kg/m ;11.549473
 Corte 5-5 ; SUP ; Viga Peraltada ;" 5/8"" ";4.8;2; 1.55 kg/m ;14.894512
 Corte 5-5 ; SUP ; Viga Peraltada ;" 5/8"" ";4.8;2; 1.55 kg/m ;14.899824
 V-1 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.480453
 V-1 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.480453
 V-1 ; SUP ; Viga Peraltada ;" 3/8"" ";2.05;10; 0.56 kg/m ;11.494168
 V-1 ; SUP ; Viga Peraltada ;" 3/4"" ";6.38;2; 2.24 kg/m ;28.499863
 V-1 ; SUP ; Viga Peraltada ;" 3/4"" ";6.4;2; 2.24 kg/m ;28.618138
